Year,Mo,Dy,Hr,Mn,Sec,Tsu,Name,Lat,Long,focal depth,Mag,MMI Int,Deaths,Det,Injuries,Det,Damage Mill$,Det,Houses Destoyed,Det,Houses Damaged,Det
1910,1,8,14,49,30,,CHINA: YELLOW SEA,35,122,,6.8,,,,,,,2,,3,,
1910,2,12,18,10,,,JAPAN: HONSHU: S OF,33,138.5,350,7.4,,,,,,,,,,,
1910,2,25,,,,Tsu,PAPUA NEW GUINEA: MATUPI HARBOR,-4.25,152.25,,6,,,,,,,,,,,
1910,4,12,0,22,13,,TAIWAN,25.5,122.5,200,7.8,,60,2,,,,1,13,1,,
1910,4,13,,,,,COSTA RICA: CARTAGO,9.8,-84,,,,1750,4,,,,2,,,,
1910,5,4,23,50,,,COSTA RICA: CARTAGO SAN JOSE,10,-84,,,,700,3,,,,3,,,,
1910,5,22,6,25,,,JAPAN: HOKKAIDO,42,145,60,7.5,,,,,,,,,,,
1910,6,1,5,55,,,VANUATU ISLANDS,-20,169,80,7.5,,,,,,,,,,,
1910,6,7,2,5,,,ITALY: CALITRI,40.9,15.4,33,5.9,10,,,,,,,,,,
1910,6,16,6,30,42,,VANUATU ISLANDS,-19,169.5,100,7.9,,,,,,,,,,,
1910,6,24,13,27,,,ALGERIA: MASQUERAY KABYLIA,36,4,33,6.4,11,12,1,,,,1,,,,
1910,6,25,19,26,,,TURKEY: HACIHAMZA OSMANCIK ISKILIP,40.9,34.6,,6.1,7,,,,,,3,,,,
1910,9,24,3,,,,MEXICO: OAXACA,16.8,-95.9,,6.9,9,,,,,,2,,,,
1910,10,27,,,,,MOROCCO: MELILLA; CANARY I: PENON DE LA GOMERA,35.3,-2.97,,,,,,,,,2,,,,
1910,11,9,6,2,,,VANUATU ISLANDS: ESPIRITU SANTO,-16,166,70,7.9,,,,,,,,,,,
1910,11,10,12,19,54,Tsu,VANUATU ISLANDS: ESPIRITU SANTO,-14,166.5,90,7.2,,,,,,,2,,,,
1910,11,26,4,39,,,SOLOMON ISLANDS,-8,167,33,8,,,,,,,,,,,
